"species","decimalLongitude","decimalLatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","catalogNumber"
"Eurybia conspicua",-113.554405,53.437247,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4162054544","https://www.inaturalist.org/observations/172479194","HUMAN_OBSERVATION",2023,7,11,"2023-07-11T17:11:43","WGS84","iNaturalist research-grade observations","172479194"
"Eurybia conspicua",-113.376557,53.56123,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4162303678","https://www.inaturalist.org/observations/172778204","HUMAN_OBSERVATION",2023,7,13,"2023-07-13T19:37:55","WGS84","iNaturalist research-grade observations","172778204"
"Eurybia conspicua",-113.376246,53.562176,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4162430536","https://www.inaturalist.org/observations/172778514","HUMAN_OBSERVATION",2023,7,13,"2023-07-13T19:44:04","WGS84","iNaturalist research-grade observations","172778514"
"Eurybia conspicua",-122.429204,52.959686,"cdc,cdround","CAN",NA,"PRESENT",9,"iNaturalist","4171221024","https://www.inaturalist.org/observations/173122768","HUMAN_OBSERVATION",2023,7,12,"2023-07-12T14:09:30","WGS84","iNaturalist research-grade observations","173122768"
"Eurybia conspicua",-114.058301,53.053932,"cdc,cdround","CAN",NA,"PRESENT",204,"iNaturalist","4171278193","https://www.inaturalist.org/observations/174181142","HUMAN_OBSERVATION",2023,7,21,"2023-07-21T17:05:59","WGS84","iNaturalist research-grade observations","174181142"
"Eurybia conspicua",-125.02883,56.905042,"cdc,cdround","CAN",NA,"PRESENT",6,"iNaturalist","4165850708","https://www.inaturalist.org/observations/174219753","HUMAN_OBSERVATION",2023,7,21,"2023-07-21T16:56:37","WGS84","iNaturalist research-grade observations","174219753"
"Eurybia conspicua",-114.110525,50.97559,"cdc,cdround","CAN",NA,"PRESENT",15,"iNaturalist","4165860002","https://www.inaturalist.org/observations/174610285","HUMAN_OBSERVATION",2023,7,5,"2023-07-05T09:52:00","WGS84","iNaturalist research-grade observations","174610285"
"Eurybia conspicua",-113.522194,53.529035,"cdc,cdround","CAN",NA,"PRESENT",4,"iNaturalist","4177166702","https://www.inaturalist.org/observations/174746694","HUMAN_OBSERVATION",2023,7,24,"2023-07-24T14:15:46","WGS84","iNaturalist research-grade observations","174746694"
"Eurybia conspicua",-113.484799,53.526527,"cdc,cdround","CAN",NA,"PRESENT",914,"iNaturalist","4171421387","https://www.inaturalist.org/observations/174855964","HUMAN_OBSERVATION",2023,7,8,"2023-07-08T13:47:00","WGS84","iNaturalist research-grade observations","174855964"
"Eurybia conspicua",-115.521897,51.196895,"cdc,cdround","CAN",NA,"PRESENT",8,"iNaturalist","4171170940","https://www.inaturalist.org/observations/174952195","HUMAN_OBSERVATION",2023,7,18,"2023-07-18T10:45:37","WGS84","iNaturalist research-grade observations","174952195"
"Eurybia conspicua",-114.14238,53.030497,"cdc,cdround","CAN",NA,"PRESENT",13,"iNaturalist","4171412037","https://www.inaturalist.org/observations/175054800","HUMAN_OBSERVATION",2023,7,16,"2023-07-16T08:47:33","WGS84","iNaturalist research-grade observations","175054800"
"Eurybia conspicua",-116.058181,43.638183,"cdc,cdround","USA",NA,"PRESENT",29,"iNaturalist","4171486845","https://www.inaturalist.org/observations/175138005","HUMAN_OBSERVATION",2023,7,26,"2023-07-26T16:26:00","WGS84","iNaturalist research-grade observations","175138005"
"Eurybia conspicua",-123.094392,55.330497,"cdc,cdround","CAN",NA,"PRESENT",101,"iNaturalist","4171680952","https://www.inaturalist.org/observations/175157355","HUMAN_OBSERVATION",2023,7,26,"2023-07-26T20:54:59","WGS84","iNaturalist research-grade observations","175157355"
